id,name,host_id,neighbourhood_cleansed,property_type,room_type,square_feet,availability_30,review_scores_value,price
12147973,"Sunny Bungalow in the City",31303940,"Roslindale","House","Entire home/apt",,0,,"250.00"
3075044,"Charming room in pet friendly apt",2572247,"Roslindale","Apartment","Private room",,26,9,"65.00"
6976,"Mexican Folk Art Haven in Boston",16701,"Roslindale","Apartment","Private room",,19,10,"65.00"
1436513,"Spacious Sunny Bedroom Suite in Historic Home",6031442,"Roslindale","House","Private room",,6,10,"75.00"
7651065,"Come Home to Boston",15396970,"Roslindale","House","Private room",,13,10,"79.00"
12386020,"Private Bedroom + Great Coffee",64200298,"Roslindale","Condominium","Private room",,5,10,"75.00"
5706985,"New Lrg Studio apt 15 min to Boston",6570877,"Roslindale","Apartment","Entire home/apt",,22,9,"100.00"
2843445,"",3164508,"Roslindale","House","Private room",,30,10,"75.00"
753446,"6 miles away from downtown Boston!",3962517,"Roslindale","Condominium","Private room",12,12,10,"58.00"
849408,"Perfect & Practical Boston Rental",4434391,"Roslindale","Apartment","Entire home/apt",,20,9,"229.00"
12023024,"Cozy room in a well located house",64331842,"Roslindale","House","Private room",,16,10,"60.00"
1668313,"Room in Rozzie-Twin Bed-Full Bath",8834105,"Roslindale","House","Private room",,6,9,"57.00"
2684840,"Updated, spacious living in Rozzie",13743098,"Roslindale","Condominium","Entire home/apt",,0,10,"93.00"
13547301,"2 Bedroom Apartment in Boston",57402911,"Roslindale","Apartment","Entire home/apt",,8,10,"150.00"
5434353,"Quiet  Beauty in Boston",9658771,"Roslindale","House","Entire home/apt",,11,9,"145.00"
225979,"Cozy Room & Fresh Roasted Coffee",1176995,"Roslindale","Apartment","Private room",,4,10,"60.00"
3420384,"Convient, Safe and Comfortable",431385,"Roslindale","House","Private room",,20,10,"165.00"
13512930,"Roslindale Beauty next to Arboretum",13743098,"Roslindale","Condominium","Private room",,0,10,"75.00"
7482195,"Private room near bus stop",34552909,"Roslindale","House","Private room",,0,,"49.00"
7252607,"Private Room near Public Transport",34552909,"Roslindale","House","Private room",,0,10,"49.00"
2583074,"Cozy room in a charming villa.",13226301,"Roslindale","Villa","Private room",,6,10,"40.00"
13251243,"Arborside Guest Cottage",74531248,"Roslindale","House","Entire home/apt",,0,10,"120.00"
225834,"Skyline View to Boston",1176995,"Roslindale","Apartment","Private room",,0,9,"70.00"
6400432,"Spacious 3 bedroom cape cod style",23127285,"Roslindale","House","Entire home/apt",,0,10,"150.00"
5498472,"4BD/3.5BA, Perfect for families!",28518068,"Roslindale","House","Entire home/apt",,0,10,"175.00"
894539,"Private room in house",4762495,"Roslindale","House","Private room",,0,10,"95.00"
879929,"Surround yourself with custom art!",4653380,"Roslindale","Apartment","Private room",,0,9,"90.00"
9218312,"Sunny bedroom with private bathroom",47935411,"Roslindale","House","Private room",,8,10,"95.00"
321328,"Bright Room Near Roslindale Village",8302344,"Roslindale","Apartment","Private room",,21,9,"100.00"
1810172,"Room for 2 in Rozzie - Full Bath",8834105,"Roslindale","House","Private room",,0,10,"67.00"
6513924,"Private room in spacious condo!",16398126,"Roslindale","Condominium","Private room",,0,9,"55.00"
7093109,"Adorable  Apt. 20 min from Downtown",37177446,"Roslindale","Apartment","Entire home/apt",,21,10,"200.00"
14690527,"1 Bedroom Home Suite Home",28472710,"Roslindale","Apartment","Entire home/apt",,0,,"150.00"
7086825,"Private Room near public transport",34552909,"Roslindale","House","Private room",,0,10,"49.00"
1861070,"Charming Gambrel on a sweet street",8879967,"Roslindale","House","Private room",,27,10,"75.00"
4283698,"Private 1 bedroom w/ kitchenette",333210,"Roslindale","House","Entire home/apt",,7,9,"110.00"
10116095,"Comfortable & Clean - Boston",1229092,"Roslindale","Apartment","Private room",,19,,"115.00"
8548176,"Charming 3 bedroom-15 min to Boston",6570877,"Roslindale","House","Entire home/apt",,26,9,"125.00"
4922204,"Charming new house-15 min to Boston",6570877,"Roslindale","House","Entire home/apt",,18,9,"200.00"
4085362,"",3164508,"Roslindale","House","Private room",,26,10,"75.00"
3755609,"Lovely & Gracious Victorian room",19223882,"Roslindale","House","Private room",,4,9,"78.00"
13768853,"Cozy, quiet room in Roslindale",43132977,"Roslindale","Apartment","Private room",,0,10,"50.00"
1936861,"Private Room in Rozzie",10021116,"Roslindale","Apartment","Private room",,20,10,"60.00"
4461111,"Queen room in a charming villa",13226301,"Roslindale","House","Private room",,6,9,"45.00"
1724900,"Charming sunlit house in Boston",7723912,"Roslindale","House","Entire home/apt",,4,9,"145.00"
13937181,"Guest Room in Cozy Home",82861960,"Roslindale","House","Private room",,2,9,"45.00"
3968797,"Sunny bedroom in large quiet house",4762495,"Roslindale","House","Private room",,0,10,"85.00"
1494726,"Cozy in Rozzie!",7506913,"Roslindale","House","Private room",200,20,10,"75.00"
8473851,"Private Room in Single Family Home",44625108,"Roslindale","House","Private room",,11,10,"50.00"
3575220,"The Artist room in beautiful villa.",13226301,"Roslindale","House","Private room",,0,10,"45.00"
1591827,"PrivRoom+Bath In Roslindale/Boston",8491165,"Roslindale","House","Private room",90,0,9,"60.00"
3229255,"1bd Boston apt - Convenient & quiet",16343599,"Roslindale","Apartment","Entire home/apt",,8,10,"95.00"
1721016,"Quiet Sunlit Attic Studio",7723912,"Roslindale","Apartment","Entire home/apt",,19,10,"89.00"
12535687,"In-Law Apartment",30349101,"Roslindale","Apartment","Entire home/apt",,17,,"110.00"
12994227,"Cozy room near the arboretum",8582699,"Roslindale","Condominium","Private room",,6,,"65.00"
12927298,"Private House in Roslindale/Boston/Arboretum",68001856,"Roslindale","House","Entire home/apt",,16,6,"285.00"
169938,"Gorgeous Boston Loft Style Condo!",809859,"Jamaica Plain","Apartment","Entire home/apt",,17,,"140.00"
594693,"Private room in peaceful space",2139546,"Jamaica Plain","Apartment","Private room",,3,9,"70.00"
2384581,"Loft bedroom, sleeps 2",12083797,"Jamaica Plain","House","Private room",,30,9,"95.00"
735970,"Part of a Large Condo Jamaica Plain",3840038,"Jamaica Plain","Bed & Breakfast","Private room",1000,0,10,"55.00"
4262255,"Beautiful and sunny condo",21873698,"Jamaica Plain","Apartment","Private room",,0,10,"80.00"
4000384,"Sunlit room with private bath",10910804,"Jamaica Plain","House","Private room",,7,10,"120.00"
6693305,"Bed, Bath and Beyond III in JP",14303759,"Jamaica Plain","Apartment","Private room",,0,10,"65.00"
6730758,"Private studio by subway w/parking",207475,"Jamaica Plain","Apartment","Private room",,1,10,"100.00"
6248970,"Spacious room convenient to subway",32449720,"Jamaica Plain","Apartment","Private room",,7,10,"65.00"
12806707,"Artistic House Next To Jamaica Pond",4263511,"Jamaica Plain","House","Private room",,5,,"60.00"
14246616,"Cozy Room off Centre St, JP!",5055078,"Jamaica Plain","Apartment","Private room",,0,9,"63.00"
3703674,"Private floor in Jamaica Plain home",9350281,"Jamaica Plain","Townhouse","Private room",,0,9,"75.00"
4792901,"Spacious room in secluded townhouse",24701232,"Jamaica Plain","House","Private room",,0,9,"65.00"
5717528,"Charming Victorian near T",7394101,"Jamaica Plain","Apartment","Private room",,11,9,"110.00"
5601743,"Beautiful, Expansive Space in JP",19280995,"Jamaica Plain","House","Private room",,8,8,"46.00"
13333862,"Sunny room, colorful artist home",5215706,"Jamaica Plain","Apartment","Private room",,0,,"75.00"
519272,"Cozy Room + Private Bath, JP Boston",2444900,"Jamaica Plain","Apartment","Private room",1700,0,10,"62.00"
14090779,"Lovely room with private half bath",6104362,"Jamaica Plain","Condominium","Private room",,0,,"69.00"
8481291,"Beautiful, airy room in JP",8167936,"Jamaica Plain","Apartment","Private room",,0,10,"69.00"
6990904,"Cozy JP bedroom near Orange Line T",16337422,"Jamaica Plain","House","Private room",,0,10,"73.00"
197727,"Great Boston neighborhood Jamaica PLain",964356,"Jamaica Plain","Apartment","Private room",,0,10,"85.00"
932853,"Qn BR/Private Bath/Superhost/JP Ctr",5028116,"Jamaica Plain","Apartment","Private room",,4,9,"120.00"
11159585,"Mark P.Coleman",57514323,"Jamaica Plain","House","Private room",,30,10,"125.00"
9677354,"JP Gem",391664,"Jamaica Plain","Apartment","Private room",,28,9,"70.00"
13426831,"Cozy, comfortable, colorful room near orange line",17401715,"Jamaica Plain","Condominium","Private room",,0,,"100.00"
7956634,"The Blue Room in JP",8154081,"Jamaica Plain","Condominium","Private room",,0,10,"61.00"
568234,"Parking/Pvt Bath/Hip Neighborhood!",2796082,"Jamaica Plain","House","Private room",,13,10,"125.00"
1030500,"Cozy den, private apt/kitchen/bath",5670669,"Jamaica Plain","Apartment","Private room",,3,9,"100.00"
13652374,"Private Room near Forest Hills T Stop",27860683,"Jamaica Plain","Apartment","Private room",,0,,"27.00"
12930651,"Sunny and quiet private room close to subway (JP)",5580771,"Jamaica Plain","Apartment","Private room",,0,10,"80.00"
3997572,"Room in beautiful JP home",1805868,"Jamaica Plain","House","Private room",,30,9,"85.00"
4223387,"Convenient green Victorian",5689782,"Jamaica Plain","House","Private room",,28,9,"75.00"
12855396,"Cozy room in boston neighborhood",16052189,"Jamaica Plain","House","Private room",,6,6,"57.00"
12426823,"Nice private room, full size bed",17549950,"Jamaica Plain","Apartment","Private room",,0,,"100.00"
14361322,"Cozy Neighborhood Spot",19056916,"Jamaica Plain","Apartment","Private room",,0,,"40.00"
2963419,"Peaceful room, garden oasis",15123694,"Jamaica Plain","House","Private room",,0,10,"100.00"
5904732,"Lg sunny room w/private entrance",987917,"Jamaica Plain","House","Private room",,14,10,"70.00"
3591359,"Spacious 2 bedroom apartment (free parking)",9662986,"Jamaica Plain","Apartment","Entire home/apt",,0,10,"190.00"
2538536,"Beautiful bright corner unit!ioc",16067950,"Jamaica Plain","Apartment","Entire home/apt",,0,10,"149.00"
4975581,"Clean Apartment in Boston",12937716,"Jamaica Plain","Apartment","Entire home/apt",,9,9,"168.00"
4767023,"Stay in Boston's top neighborhood",24593919,"Jamaica Plain","House","Entire home/apt",,0,9,"205.00"
6364042,"Bright room with queen sized bed",987917,"Jamaica Plain","House","Private room",,7,9,"65.00"
7986179,"Spacious home in Jamaica Plain",20040612,"Jamaica Plain","Apartment","Entire home/apt",,0,10,"75.00"
14109003,"3rd floor condo, 2 bedrooms, 2 decks",22290246,"Jamaica Plain","Condominium","Entire home/apt",,0,,"117.00"
1109224,"4 bedroom Victorian Condo unit",1531239,"Jamaica Plain","Apartment","Entire home/apt",,8,9,"429.00"
1067184,"Lovely bedroom/use of whole apt.",848706,"Jamaica Plain","Apartment","Private room",,21,9,"95.00"
13215952,"The Blue Grotto",19798741,"Jamaica Plain","Apartment","Private room",,0,,"69.00"
777903,"A suburban feel in the city",4102281,"Jamaica Plain","House","Private room",,26,10,"85.00"
1301500,"Stay in Boston's best neighborhood!",3578624,"Jamaica Plain","Apartment","Private room",,5,10,"69.00"
8923817,"Elegant studio,kitchn, soaking tub",45402419,"Jamaica Plain","House","Entire home/apt",,0,9,"165.00"
14057466,"Priv apt w/2 Beds 1 bath close to Medical/Downtown",30314324,"Jamaica Plain","Apartment","Entire home/apt",,1,9,"150.00"
14909417,"Woodland Sanctuary next to Orange Line T",93635490,"Jamaica Plain","Condominium","Entire home/apt",,13,,"267.00"
5521378,"Cozy bedroom near train, bus, parks",25636575,"Jamaica Plain","Apartment","Private room",,29,10,"87.00"
13041602,"Quiet & Sunny Room Near Subway",72132089,"Jamaica Plain","Townhouse","Private room",,2,10,"62.00"
2621242,"Lovely one bedroom Apt",13424353,"Jamaica Plain","Apartment","Entire home/apt",,0,10,"110.00"
950046,"Spacious Apartment in Jamaica Plain",5153431,"Jamaica Plain","Apartment","Entire home/apt",,0,10,"250.00"
3342094,"Pondside Paradise with Piano",1922657,"Jamaica Plain","Apartment","Entire home/apt",,0,9,"150.00"
5652147,"Convenient, Sunny 3b/2bth w/Parking",352441,"Jamaica Plain","House","Entire home/apt",,30,9,"300.00"
14105971,"Tranquil Treetop Loft",79103444,"Jamaica Plain","Apartment","Entire home/apt",,2,10,"119.00"
2875267,"Historic Carriage House, a peaceful city oasis",14696258,"Jamaica Plain","Apartment","Entire home/apt",,4,10,"175.00"
9485607,"Large, sunny, cozy home w/character",1498417,"Jamaica Plain","House","Entire home/apt",,0,10,"195.00"
7273770,"Boston 2 bedroom top floor condo w/balcony!",4191762,"Jamaica Plain","Condominium","Entire home/apt",,0,9,"145.00"
5405928,"Charming 2BD Across from Arboretum",1169936,"Jamaica Plain","Apartment","Entire home/apt",,15,9,"200.00"
4586681,"Hidden Gem in Jamaica Plain, Boston",12795084,"Jamaica Plain","House","Private room",,18,10,"90.00"
1113272,"JP Whole awesome apartment",3676936,"Jamaica Plain","Apartment","Entire home/apt",,18,9,"210.00"
12647606,"Private Room in Urban DIY House",55603,"Jamaica Plain","Apartment","Private room",,9,10,"75.00"
10271867,"Cozy room in Jamaica Plain",52274002,"Jamaica Plain","Apartment","Private room",,0,9,"46.00"
7879708,"Sunny, Cozy and Convenient JP Home!",7594805,"Jamaica Plain","Condominium","Private room",,30,10,"75.00"
3881993,"Vintage Apt With 3 Large Bedrooms",11487565,"Jamaica Plain","Apartment","Entire home/apt",,29,8,"500.00"
12566065,"Large and Cozy Boston Bedroom",68125441,"Jamaica Plain","Apartment","Private room",,0,10,"60.00"
6602217,"Private Apartment!",24584716,"Jamaica Plain","Apartment","Entire home/apt",,0,9,"130.00"
3276286,"Sunny apartment in Boston hosts 6",15760345,"Jamaica Plain","Apartment","Entire home/apt",,5,9,"190.00"
